"Clover Collections, Co.",Cassidy,Dean,+353 1862 1555,25 Maiden Lane,Floor No. 4,2,30
Collectable Mini Designs Co.,Thompson,Valarie,7605558146,361 Furth Circle,,91217,69
Collectables For Less Inc.,Nelson,Allen,6175558555,7825 Douglas Av.,,58339,53
Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,,,70
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,(91) 555 22 82,"C/ Araquil, 67",,28023,42
Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,1227 MM,39
Daedalus Designs Imports,Rance,Martine,20.16.1555,"184, chausse de Tournai",,59000,18
Danish Wholesale Imports,Petersen,Jytte,31 12 3555,Vinb'ltet 34,,1734,14
Diecast Classics Inc.,Yu,Kyung,2155551555,7586 Pompton St.,,70267,51
Diecast Collectables,Franco,Valarie,6175552555,6251 Ingle Ln.,,51003,52
"Double Decker Gift Stores, Ltd",Hardy,Thomas,(171) 555-7555,120 Hanover Sq.,,WA1 1DP,49
"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,79903,40
Enaco Distributors,Saavedra,Eduardo,(93) 203 4555,"Rambla de Catalu¤a, 23",,8022,41
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,28034,42
FunGiftIdeas.com,Benitez,Violeta,5085552555,1785 First Street,,50553,63
Gift Depot Inc.,King,Julie,2035552570,25593 South Bay Ln.,,97562,54
Gift Ideas Corp.,Lewis,Dan,2035554407,2440 Pompton St.,,97561,59
Gifts4AllAges.com,Yoshido,Juri,6175559555,8616 Spinnaker Dr.,,51003,52
giftsbymail.co.uk,Bennett,Helen,(198) 555-8888,Garden House Crowther Way,,PO31 7PJ,47
Handji Gifts& Co,Victorino,Wendy,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,69045,40
Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,,8200,13
Herkku Gifts,Oeztan,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,N 5804,36
"Iberia Gift Imports, Corp.",Roel,Jose Pedro,(95) 555 82 82,"C/ Romero, 33",,41101,43
"La Corne D'abondance, Co.",Bertrand,Marie,(1) 42.34.2555,"265, boulevard Charonne",,75012,22
La Rochelle Gifts,Labrune,Janine,40.67.8555,"67, rue des Cinquante Otages",,44000,21
Land of Toys Inc.,Yu,Kwai,2125557818,897 Long Airport Avenue,,10022,66
L'ordine Souveniers,Moroni,Maurizio,0522-556555,Strada Provinciale 124,,42100,32
Lyon Souveniers,Da Cunha,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,75508,22
Marseille Mini Autos,Lebihan,Laurence,91.24.4555,"12, rue des Bouchers",,13008,20
Marta's Replicas Co.,Hernandez,Marta,6175558555,39323 Spinnaker Dr.,,51247,58
"Men 'R' US Retailers, Ltd.",Chandler,Michael,2155554369,6047 Douglas Av.,,,61
Microscale Inc.,Kuo,Kee,2125551957,5290 North Pendale Street,Suite 200,10022,66
Mini Auto Werke,Mendel,Roland,7675-3555,Kirchgasse 6,,8010,6
Mini Caravy,Citeaux,Frederique,88.60.1555,"24, place Kluber",,67000,24
Mini Classics,Frick,Steve,9145554562,3758 North Pendale Street,,24067,73
Mini Creations Ltd.,Tam,Wing C,5085559555,4575 Hillside Dr.,,50553,63
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,97562,72
Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,,,70
Motor Mint Distributors Inc.,Hernandez,Rosa,2155559857,11328 Douglas Av.,,71270,68
Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,10022,66
"Norway Gifts By Mail, Co.",Klaeboe,Jan,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",,N 0106,37
Online Diecast Creations Co.,Young,Valarie,6035558647,2304 Long Airport Avenue,,62005,62
Online Mini Collectables,Barajas,Miguel,6175557555,7635 Spinnaker Dr.,,58339,53
Osaka Souveniers Co.,Kentary,Mory,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,530-0003,35
"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,981-443655,Torikatu 38,,90110,17
Petit Auto,Dewey,Catherine,(02) 5554 67,Rue Joseph-Bens 532,,B-1180,8
Quebec Home Shopping Network,Fresnisre,Jean,(514) 555-8054,43 rue St. Laurent,,H1J 1C3,10
Reims Collectables,Henriot,Paul,26.47.1555,59 rue de l'Abbaye,,51100,23
Rovelli Gifts,Rovelli,Giovanni,035-640555,Via Ludovico il Moro 22,,24100,31
"Royal Canadian Collectables, Ltd.",Lincoln,Elizabeth,(604) 555-4555,23 Tsawassen Blvd.,,T2F 8M4,11
Royale Belge,Cartrain,Pascale,(071) 23 67 2555,"Boulevard Tirou, 255",,B-6000,9
Salzburg Collectables,Pipps,Georg,6562-9555,Geislweg 14,,5020,7
"Saveley & Henriot, Co.",Saveley,Mary,78.32.5555,"2, rue du Commerce",,69004,19
Scandinavian Gift Ideas,Larsson,Maria,0695-34 6555,?kergatan 24,,S-844 67,44
Signal Collectibles Ltd.,Taylor,Sue,4155554312,2793 Furth Circle,,94217,55
Signal Gift Stores,King,Sue,7025551838,8489 Strong St.,,83030,60
Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,2067,1
"Stylish Desk Decors, Co.",Brown,Ann,(171) 555-0297,35 King George,,WX3 6FW,49
Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,"Software Engineering Center, SEC Oy",,FIN-02271,15
Super Scale Inc.,Murphy,Leslie,2035559545,567 North Pendale Street,,97823,64
Technics Stores Inc.,Hirano,Juri,6505556809,9408 Furth Circle,,94217,57
Tekni Collectables Inc.,Brown,William,2015559350,7476 Moss Rd.,,94019,65
The Sharp Gifts Warehouse,Frick,Sue,4085553659,3086 Ingle Ln.,,94217,71
"Tokyo Collectables, Ltd",Shimamura,Akiko,+81 3 3584 0555,2-2-8 Roppongi,,106-0032,34
"Toms Spezialitten, Ltd",Pfalzheim,Henriette,0221-5554327,Mehrheimerstr. 369,,50739,28
"Toys of Finland, Co.",Karttunen,Matti,90-224 8555,Keskuskatu 45,,21240,16
Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,,90003,67
"UK Collectables, Ltd.",Devon,Elizabeth,(171) 555-2282,Berkeley Gardens 12  Brewery,,WX1 6LT,48
"Vida Sport, Ltd",Holz,Michael,0897-034555,Grenzacherweg 237,,1203,46
Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,Suite 101,10022,66
"Volvo Model Replicas, Co",Berglund,Christina,0921-12 3555,Berguvsv„gen  8,,S-958 22,45
West Coast Collectables Co.,Thompson,Steve,3105553722,3675 Furth Circle,,94019,56
